node_id,x,y,z,module,root_id
71,580864,136192,182360,51,720575940603549868
72,353020,156788,155880,29,720575940603556198
73,670332,219652,146680,2,720575940603565856
74,421664,323520,98680,11,720575940603569836
75,562240,363866,179540,20,720575940603579616
76,405760,181184,81800,4,720575940603587500
77,451496,101472,159360,10,720575940603590246
78,361160,299036,126600,3,720575940603609824
79,411327,244729,62552,21,720575940603616800
80,688512,290656,57920,2,720575940603620268
81,572332,101907,138640,2,720575940603621344
82,695488,282784,57880,2,720575940603622828
83,637780,260664,37120,21,720575940603636913
84,643024,150226,166060,14,720575940603642982
85,423392,303488,207200,11,720575940603663276
86,688340,186724,96120,8,720575940603663974
87,389536,203552,213720,3,720575940603667884
88,661924,210816,171240,2,720575940603673056
89,632008,178460,143760,14,720575940603673120
90,631536,175360,143760,14,720575940603674656
91,478848,362304,165200,20,720575940603676076
92,465472,269924,122040,18,720575940603676448
93,565552,157964,172880,6,720575940603676774
94,394592,138592,203960,17,720575940603676844
95,352982,184862,146500,21,720575940603683505
96,396494,240306,56880,11,720575940603686624
97,433696,169156,81440,13,720575940603687084
98,629772,172028,143760,14,720575940603688224
99,672013,206907,48587,21,720575940603692256
100,589596,163656,170000,8,720575940603693158
101,669622,204912,53360,2,720575940603695025
102,663583,229351,187747,2,720575940603713248
103,461089,227004,217280,11,720575940603714272
104,650002,221522,197500,8,720575940603715296
105,383008,210128,194720,3,720575940603719614
106,620956,169692,143760,14,720575940603719712
107,355376,247014,116760,21,720575940603720294
108,632592,177396,143760,14,720575940603721248
109,684320,166944,57360,2,720575940603722412
110,668624,191282,186340,2,720575940603727840
111,529646,185168,38000,11,720575940603730144
112,478153,179783,201120,17,720575940603731168
113,457770,140666,154400,12,720575940603739104
114,645662,222706,204600,8,720575940603744992
115,585980,187484,173520,25,720575940603747360
116,628858,166794,174520,14,720575940603747616
117,631560,176124,143760,14,720575940603751782
118,588876,163312,170000,8,720575940603751857
119,453168,231004,203160,11,720575940603766374
120,633596,168228,143720,14,720575940603773798
121,533088,176128,187800,1,720575940603792352
122,640850,273234,118560,1,720575940603804350
123,463608,197554,181840,11,720575940603804704
124,572712,163028,172920,17,720575940603807422
125,578098,176498,186220,19,720575940603823462
126,384791,145733,120533,3,720575940603825120
127,383744,128184,109320,3,720575940603827633
128,586768,296276,90800,18,720575940603829950
129,565800,158080,172880,6,720575940603844017
130,698313,134007,164867,8,720575940603853792
131,464860,139816,168760,12,720575940603854182
132,627762,216788,74940,2,720575940603856352
133,398016,172704,76160,34,720575940603870380
134,451440,232488,203160,11,720575940603874494
135,445536,307488,55400,7,720575940603875616
136,366981,172857,207760,11,720575940603877408
137,474144,115552,186840,13,720575940603882720
138,435412,167924,207560,13,720575940603883232
139,596138,307632,87020,18,720575940603885856
140,406444,269388,107160,21,720575940603889086
141,466518,304716,215080,1,720575940603891936
142,416932,199078,217680,3,720575940603893216
143,441794,189794,78280,40,720575940603895584
144,440260,296222,94900,18,720575940603899936
145,535974,144942,154540,11,720575940603903264
146,470816,184452,186800,11,720575940603905312
147,322220,140020,151400,54,720575940603917158
148,457652,238732,210720,11,720575940603918769
149,434286,190062,80120,19,720575940603919537
150,668712,222688,171680,2,720575940603924512
151,588072,189384,173520,6,720575940603925280
152,616616,197732,70960,34,720575940603926188
153,426962,159332,85680,11,720575940603930046
154,494588,137312,174280,6,720575940603932448
155,610800,193016,60960,5,720575940603938238
156,595222,140984,162020,27,720575940603942334
157,704384,177024,196400,2,720575940603942828
158,557312,112192,159400,32,720575940603942846
159,572880,162072,172920,32,720575940603942944
160,488544,160020,179480,17,720575940603943456
161,583263,125936,142907,20,720575940603943648
162,513458,331530,182960,20,720575940603944382
163,466628,126778,153700,27,720575940603951806
164,673071,189441,195590,2,720575940603952608
165,432544,333728,129800,50,720575940603956838
166,350940,262628,115680,3,720575940603957694
167,614764,204616,37720,19,720575940603964774
168,586756,163320,170000,10,720575940603974880
169,431994,234584,195460,29,720575940603976672
170,730912,181760,116240,30,720575940603977062
171,381297,156536,109640,3,720575940603981536
172,428192,112512,193480,13,720575940603984486
173,470940,207342,40400,13,720575940603985952
174,412426,168880,216520,13,720575940603988838
175,597772,145200,152000,17,720575940603996081
176,641600,240224,20760,14,720575940604008160
